Artist,Song Title,sadness,joy,fear,disgust,anger
Owsley,Dude,0.481857,0.098255,0.109639,0.067014,0.500851
Owsley,Matriarch,0.729459,0.175846,0.094251,0.017878,0.05895
Owsley,Rise,0.239557,0.163917,0.304836,0.202081,0.173261
Owsley,She's the One,0.637931,0.022913,0.326318,0.056625,0.272818
Owsley,The Hard Way,0.394882,0.299906,0.072558,0.127259,0.27965
Owsley,Undone,0.201531,0.529275,0.164457,0.067845,0.107668
Phil Ochs,Chords Of Fame,0.392249,0.529322,0.030198,0.028509,0.052278
Phil Ochs,I Ain't Marching Anymore,0.52491,0.013521,0.194613,0.133871,0.499914
Phil Ochs,Tape From California,0.289334,0.155681,0.414996,0.24478,0.213872
Phil Ochs,The Pleasures of the Harbor,0.133931,0.757734,0.02023,0.017363,0.092316
Reagan Youth,(Are You) Happy,0.014669,0.479973,0.014431,0.02988,0.524667
Reagan Youth,Anytown,0.147662,0.209234,0.119168,0.074005,0.100725
Reagan Youth,Degenerated,0.070171,0.359785,0.045008,0.387015,0.316378
Reagan Youth,Go Nowhere,0.15275,0.18636,0.087088,0.097015,0.539353
Reagan Youth,In Dog We Trust,0.042314,0.650664,0.120105,0.111437,0.124251
Reagan Youth,New Aryans,0.423859,0.278324,0.282867,0.075366,0.131341
Reagan Youth,No Class,0.17831,0.038026,0.13052,0.23553,0.678787
Reagan Youth,Reagan Youth,0.079199,0.163794,0.050473,0.025377,0.021844
Reagan Youth,USA,0.101533,0.316837,0.252979,0.084159,0.438545
Sparklehorse,Daddy's Gone,0.286001,0.405603,0.340279,0.01226,0.091337
Sparklehorse,Dark Night Of The Soul,0.202907,0.175101,0.391609,0.031653,0.065897
Sparklehorse,Everytime I'm With You,0.231696,0.388333,0.083865,0.069591,0.339815
Sparklehorse,Grim Augury,0.327776,0.264424,0.348772,0.035022,0.161527
Sparklehorse,Insane Lullaby,0.237189,0.393005,0.086525,0.057318,0.244321
Sparklehorse,Jaykub,0.466056,0.364311,0.189909,0.012701,0.0753
Sparklehorse,Just War,0.354367,0.052366,0.401772,0.235202,0.33441
Sparklehorse,Little Girl,0.109579,0.639348,0.056334,0.175179,0.081764
Sparklehorse,Pain,0.855575,0.043089,0.132209,0.020201,0.125566
Sparklehorse,Revenge,0.582526,0.010919,0.550027,0.046411,0.113989
Sparklehorse,Star Eyes (I Can't Catch It),0.30252,0.044526,0.211001,0.062923,0.112906
Sparklehorse,The Man Who Played God,0.069771,0.747904,0.079223,0.03136,0.098133
Stone Temple Pilots,Black Heart,0.569168,0.068121,0.192255,0.005015,0.035487
Stone Temple Pilots,Cry cry,0.829983,0.083276,0.023507,0.075066,0.05447
Stone Temple Pilots,Out of time,0.333297,0.152815,0.110507,0.078283,0.253979
Stone Temple Pilots,Same On The Inside,0.173369,0.254451,0.04731,0.051982,0.26388
Stone Temple Pilots,Tomorrow,0.823667,0.026173,0.288041,0.009393,0.028044
Susan Fassbender,Merry-go-round,0.579029,0.542058,0.144786,0.08772,0.089537
The Raphaels,Old Country Country,0.149271,0.765082,0.028654,0.028972,0.048907
The Raphaels,Private Battlefield,0.408651,0.190556,0.264058,0.093377,0.29953
The Raphaels,Shattered Cross,0.694279,0.010499,0.177451,0.238605,0.225591
The Raphaels,Simple Man,0.189959,0.651661,0.04774,0.05358,0.133208
The Raphaels,Supernatural,0.170333,0.176688,0.124372,0.077654,0.090723
The Raphaels,Too Many Ghosts,0.149596,0.661976,0.119868,0.019986,0.051029
The Raphaels,Toujour Aimez,0.054324,0.620224,0.109009,0.105464,0.193595
The Whitlams,End of Your World,0.123033,0.35581,0.129437,0.10057,0.466374
The Whitlams,Following My Own Tracks,0.487604,0.012162,0.269881,0.09132,0.501833
The Whitlams,Hollow Log,0.321537,0.327071,0.024071,0.019114,0.020732
The Whitlams,Pass the Flagon,0.537496,0.005632,0.420698,0.12343,0.288307
The Whitlams,Shining,0.722781,0.071554,0.360536,0.001506,0.023823
The Whitlams,You don't even know my name,0.177392,0.5808,0.130791,0.060534,0.068646
Viro the Virus,Exscape,0.701092,0.037149,0.129373,0.070778,0.221538
Viro the Virus,Heat,0.126789,0.009195,0.107717,0.463521,0.656356
Yavuz Cetin,Benimle Ucmak Ister misin,0.280581,0.020042,0.801109,0.054306,0.070621
Yavuz Cetin,Hersey Biter,0.387925,0.452592,0.126682,0.026273,0.126268
Yavuz Cetin,KÃ¶le,0.292115,0.614222,0.105952,0.013618,0.008958
Yavuz Cetin,Oyuncak DÃ¼nya,0.253527,0.288625,0.245088,0.293748,0.13608
Yavuz Cetin,Sadece Senin Olmak,0.272197,0.612961,0.054877,0.023693,0.051322
Yavuz Cetin,Yasamak Istemem,0.469788,0.217608,0.181086,0.006335,0.068197
