Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
Taylor Swift,Style,0.8,20,0.594,1,0.473,0.494116,0.07876,0.37484,0.024053,0.138671,0.214691,0.574062,0.125501,0.043106,0.118875,1
Taylor Swift,This Love,0.428,20,0.333,1,0.097,0.799984,0.070348,0.188171,0.011773,0.069618,0.058909,0.855141,0.03129,0.016911,0.023931,1
Taylor Swift,Welcome to New York,0.626,20,0.79,1,0.664,0.561511,0.172674,0.024161,0.230833,0.183814,0.025042,1,0.006917,0.007489,0.055794,1
The Script,Arms Open,0.554,31,0.513,1,0.722,0.596852,0.087977,0.337191,0.043446,0.137716,0.67445,0.158016,0.242987,0.004665,0.039622,1
The Script,Army of Angels,0.578,31,0.48,1,0.127,0.2769,0.34674,0.293126,0.010382,0.237928,0.101243,0.743941,0.083319,0.037986,0.017469,1
Usher,I Don't Mind,0.464,32,0.87,1,0.457,0.187088,0.33122,0.070821,0.098884,0.513678,0.31306,0.087109,0.175006,0.039401,0.440452,1
Usher,My Boo,0.507,32,0.662,1,0.676,0.46531,0.291134,0.066542,0.22136,0.132697,0.227118,0.019306,0.129802,4.20E-05,0.002422,1
Usher,You Make Me Wanna,0.639,32,0.761,0,0.922,0.679671,0.010221,0.448669,0.042561,0.112879,0.064879,0.632269,0.038139,0.023654,0.110941,1
ZAYN,BeFoUr,0.629,1,0.679,0,0.186,0.730913,0.022906,0.153802,0.181182,0.201623,0.618467,0.036679,0.094771,0.171564,0.186567,1
ZAYN,BLUE,0.184,1,0.222,1,0.156,0.121888,0.810142,0.064894,0.004243,0.006193,0.065167,0.843343,0.013642,0.004349,0.025062,1
ZAYN,BoRdErZ,0.147,1,0.602,0,0.0393,0.039033,0.884455,0.047284,0.010907,0.011668,0.552735,0.022116,0.301105,0.098737,0.256616,1
Albert Ayler,Music is the Healing force of the Universe,0.736,4,0.303,1,0.424,0.297842,0.643527,0.023434,0.001863,0.058054,0.183425,0.773032,0.035934,0.001244,0.014387,0
Antonio Flores,Isla de Palma,0.661,5,0.883,1,0.862,0.403503,0.377848,0.154008,0.15808,0.011867,0.132957,0.572446,0.377735,0.002654,0.008717,0
avicii,Friend of Mine,0.7,22,0.702,0,0.603,0.194528,0.10014,0.400606,0.097862,0.448143,0.163906,0.723974,0.066914,0.012506,0.058968,0
