Artist,Song Title,anger,joy,fear,sadness,surprise
Phil Ochs,Tape From California,-1,-1,-1,-1,-1
Phil Ochs,The Pleasures of the Harbor,-1,-1,-1,-1,-1
Reagan Youth,(Are You) Happy,-1,-1,-1,-1,-1
Reagan Youth,Anytown,0.2744879425,0.0318618789,0.3385064304,0.3216242194,0.0335196331
Reagan Youth,Degenerated,0.0756413788,0.2802921534,0.1179929227,0.27215459940000003,0.2539189458
Reagan Youth,Go Nowhere,0.4040667117,0.0280995071,0.030454646800000002,0.1936164945,0.3437626958
Reagan Youth,In Dog We Trust,-1,-1,-1,-1,-1
Reagan Youth,New Aryans,-1,-1,-1,-1,-1
Reagan Youth,No Class,-1,-1,-1,-1,-1
Reagan Youth,Reagan Youth,-1,-1,-1,-1,-1
Reagan Youth,USA,-1,-1,-1,-1,-1
Sparklehorse,Angel's Harp,-1,-1,-1,-1,-1
Sparklehorse,Daddy's Gone,0.08880439400000001,0.2752968073,0.227617532,0.29067635540000003,0.1176049113
Sparklehorse,Dark Night Of The Soul,0.0720435828,0.0402069241,0.1378492117,0.7356580496,0.014242251400000001
Sparklehorse,Everytime I'm With You,0.39095824960000003,0.0984759927,0.1377884448,0.22237393260000002,0.15040342510000002
Sparklehorse,Grim Augury,-1,-1,-1,-1,-1
Sparklehorse,Insane Lullaby,0.1474989653,0.044798743,0.23258945350000002,0.35709083080000004,0.2180220336
Sparklehorse,Jaykub,-1,-1,-1,-1,-1
Sparklehorse,Just War,0.21988826990000002,0.2770473659,0.1521652043,0.31139773130000004,0.039501443500000004
Sparklehorse,Little Girl,0.11871043590000001,0.034368325000000005,0.0247725025,0.7047756314,0.1173731014
Sparklehorse,Pain,0.1708167791,0.3895874321,0.25737029310000004,0.0817064121,0.1005190462
Sparklehorse,Revenge,-1,-1,-1,-1,-1
Sparklehorse,Star Eyes (I Can't Catch It),0.1628643125,0.204105854,0.1200188249,0.1364171952,0.3765937984
Sparklehorse,The Man Who Played God,0.3647962213,0.0681074113,0.24732485410000002,0.2124706358,0.10730089250000001
Stone Temple Pilots,Black Heart,-1,-1,-1,-1,-1
Stone Temple Pilots,Cry cry,-1,-1,-1,-1,-1
Stone Temple Pilots,Out of time,-1,-1,-1,-1,-1
Stone Temple Pilots,Same On The Inside,-1,-1,-1,-1,-1
Stone Temple Pilots,Tomorrow,-1,-1,-1,-1,-1
Susan Fassbender,Merry-go-round,-1,-1,-1,-1,-1
The Raphaels,Learn to Row,0.0485499166,0.5161180496000001,0.070456557,0.0422586799,0.3226168156
The Raphaels,Old Country Country,0.0485499166,0.5161180496000001,0.070456557,0.0422586799,0.3226168156
The Raphaels,Private Battlefield,0.1449360251,0.093860887,0.0742137283,0.6385458708,0.0484434664
The Raphaels,Shattered Cross,0.4412993491,0.0484330133,0.0935576409,0.4061602056,0.0105497539
The Raphaels,Simple Man,-1,-1,-1,-1,-1
The Raphaels,Supernatural,0.7056293488000001,0.0097848549,0.0442405082,0.2365686744,0.0037766232000000003
The Raphaels,Too Many Ghosts,0.0822431296,0.0396338329,0.0642933697,0.7927032709,0.0211263988
