Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse
Reagan Youth,In Dog We Trust,0.173288,0.254088,0.22869,0.062668,0.52505
Reagan Youth,New Aryans,0.147565,0.601478,0.02532,0.280272,0.006492
Reagan Youth,No Class,0.36057,0.07201,0.209386,0.274413,0.391584
Reagan Youth,Reagan Youth,0.165302,0.539941,0.160365,0.074979,0.493588
Reagan Youth,USA,0.147395,0.35611,0.045396,0.066812,0.227048
Sparklehorse,Angel's Harp,0.144609,0.562678,0.270645,0.037181,0.073995
Sparklehorse,Daddy's Gone,0.224452,0.554002,0.072171,0.01838,0.065466
Sparklehorse,Dark Night Of The Soul,0.431441,0.235121,0.485862,0.00223,0.011386
Sparklehorse,Everytime I'm With You,0.217076,0.011396,0.170693,0.20256,0.740369
Sparklehorse,Grim Augury,0.16449,0.440693,0.106763,0.03129,0.399857
Sparklehorse,Insane Lullaby,0.199205,0.596089,0.13962,0.081214,0.051815
Sparklehorse,Jaykub,0.08464,0.746661,0.02171,0.065362,0.127311
Sparklehorse,Just War,0.232343,0.02595,0.417609,0.17901,0.395811
Sparklehorse,Little Girl,0.439926,0.13118,0.093552,0.089326,0.518975
Sparklehorse,Pain,0.564647,0.035605,0.527958,0.077428,0.089558
Sparklehorse,Revenge,0.513418,0.010126,0.247884,0.067143,0.517925
Sparklehorse,Star Eyes (I Can't Catch It),0.246656,0.71419,0.023751,0.007249,0.016101
Sparklehorse,The Man Who Played God,0.221152,0.562717,0.081177,0.041422,0.181925
Stone Temple Pilots,Black Heart,0.111857,0.736538,0.116133,0.041165,0.042175
Stone Temple Pilots,Cry cry,0.722693,0.010685,0.174765,0.109839,0.307745
Stone Temple Pilots,Out of time,0.684967,0.315332,0.015453,0.002615,0.027262
Stone Temple Pilots,Same On The Inside,0.739044,0.022041,0.108869,0.121173,0.29842
Stone Temple Pilots,Tomorrow,0.56984,0.282518,0.188103,0.013303,0.070217
Susan Fassbender,Merry-go-round,0.58424,0.639891,0.102862,0.066089,0.122516
The Raphaels,Old Country Country,0.462499,0.327173,0.17737,0.137289,0.088144
The Raphaels,Private Battlefield,0.314963,0.247537,0.339996,0.087007,0.260707
The Raphaels,Shattered Cross,0.595226,0.035183,0.074093,0.064158,0.391269
The Raphaels,Simple Man,0.534858,0.257906,0.205824,0.029403,0.148068
The Raphaels,Supernatural,0.289629,0.36432,0.424816,0.004731,0.064994
The Raphaels,Too Many Ghosts,0.43399,0.062701,0.237304,0.293469,0.305579
The Raphaels,Toujour Aimez,0.548287,0.277011,0.13403,0.125177,0.069153
The Whitlams,End of Your World,0.419036,0.207378,0.231329,0.157396,0.191334
The Whitlams,Following My Own Tracks,0.544606,0.089839,0.176313,0.039594,0.430388
The Whitlams,Hollow Log,0.096587,0.824539,0.051979,0.018803,0.005412
The Whitlams,Pass the Flagon,0.28445,0.604597,0.121102,0.031142,0.020045
The Whitlams,Shining,0.614027,0.324979,0.120809,0.004614,0.017601
The Whitlams,You don't even know my name,0.271079,0.493557,0.155213,0.017121,0.072726
Viro the Virus,Exscape,0.651416,0.011448,0.293343,0.048602,0.332849
Viro the Virus,Heat,0.205475,0.006823,0.079993,0.484703,0.602852
Yavuz Cetin,Benimle Ucmak Ister misin,0.619086,0.012711,0.35571,0.07876,0.265359
Yavuz Cetin,Hersey Biter,0.404332,0.194486,0.405445,0.117703,0.134858
Yavuz Cetin,Köle,0.459635,0.365129,0.24593,0.017581,0.013171
Yavuz Cetin,Oyuncak Dünya,0.571947,0.539841,0.057515,0.135417,0.43496
Yavuz Cetin,Sadece Senin Olmak,0.423553,0.447584,0.174226,0.010201,0.028618
Yavuz Cetin,Yasamak Istemem,0.155213,0.362808,0.061548,0.083438,0.47066
