Artist,Song Title,anger,joy,fear,sadness,surprise
The Whitlams,End of Your World,0.3503768444,0.0136983963,0.1667955816,0.4439300895,0.0251991041
The Whitlams,Following My Own Tracks,0.1326692998,0.0717673898,0.1246673241,0.5725666285000001,0.0983293578
The Whitlams,Hollow Log,0.10546669360000001,0.1562771648,0.1248340681,0.5057020187,0.1077201068
The Whitlams,Pass the Flagon,0.267541945,0.06258726120000001,0.029822729500000002,0.6179594994000001,0.0220885724
The Whitlams,Shining,-1,-1,-1,-1,-1
The Whitlams,You don't even know my name,0.2907747626,0.014761106100000001,0.0700537413,0.5285954475,0.0958149806
Tommy Boyce,I Love You,0.045069024000000006,0.5112879276,0.07867108290000001,0.2811218202,0.0838501379
Viro the Virus,Exscape,0.5305357575,0.0403656736,0.0664454848,0.35060119630000003,0.0120518953
Viro the Virus,Heat,-1,-1,-1,-1,-1
Yavuz Cetin,Benimle Ucmak Ister misin,-1,-1,-1,-1,-1
Yavuz Cetin,Hersey Biter,-1,-1,-1,-1,-1
Yavuz Cetin,Köle,-1,-1,-1,-1,-1
Yavuz Cetin,Oyuncak Dünya,-1,-1,-1,-1,-1
Yavuz Cetin,Sadece Senin Olmak,0.1062647998,0.0737393424,0.0404979959,0.6576471329,0.12185071410000001
Yavuz Cetin,Yasamak Istemem,0.1507496983,0.0403598063,0.0889756829,0.34578996900000003,0.37412482500000005
