Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus
Kingston Wall,Welcome to the Mirrorland,111.384,-13.504,0.24,16,0.238,1,0.031,0.23570100000000002,0.34223000000000003,0.312909,0.07824199999999999,0.13105799999999998,0.21201199999999998,0.5370699999999999,0.151455,0.041498,0.157153
Link 80,Better Than Shit,113.987,-9.355,0.828,17,0.5429999999999999,0,0.919,0.802131,0.032898000000000004,0.074154,0.050223000000000004,0.264396,0.518599,0.530485,0.114353,0.065583,0.588812
Link 80,For What It's Worth,106.502,-9.748,0.477,17,0.423,0,0.302,0.195664,0.191159,0.6013229999999999,0.081433,0.545755,0.17498699999999998,0.257646,0.209011,0.090991,0.282053
Link 80,No Such Thing,108.361,-8.832,0.856,17,0.32299999999999995,1,0.782,0.473948,0.576551,0.066009,0.577431,0.612862,0.5181680000000001,0.025914,0.33371,0.08343300000000001,0.388598
Link 80,Packing Up,112.98,-8.867,0.943,17,0.446,1,0.488,0.519656,0.35168499999999997,0.178429,0.028876,0.088936,0.442672,0.16297899999999998,0.186156,0.103657,0.305782
Link 80,The Truth of It,107.876,-9.482,0.865,17,0.34,0,0.5870000000000001,0.831015,0.00617,0.25867199999999996,0.089908,0.088225,0.153645,0.020337,0.50495,0.017637,0.6189899999999999
Linkin Park,Halfway Right,134.028,-7.155,0.626,8,0.655,0,0.498,0.36681199999999997,0.006704000000000001,0.442687,0.084156,0.49058500000000005,0.386694,0.008253,0.609731,0.080569,0.25223
Linkin Park,Heavy (feat. Kiiara),149.982,-6.098,0.6709999999999999,8,0.59,1,0.438,0.389226,0.081558,0.42996,0.05207899999999999,0.382186,0.76677,0.221061,0.21837600000000001,0.068287,0.130314
Material Issue,A Very Good Thing,169.549,-5.8870000000000005,0.8909999999999999,1,0.221,1,0.552,0.49573500000000004,0.21876199999999998,0.20158800000000002,0.05049,0.24625,0.14438,0.552532,0.151046,0.017891,0.073528
Material Issue,Kim the Waitress,130.579,-7.65,0.721,1,0.223,1,0.337,0.24065799999999998,0.564863,0.13071300000000002,0.038981,0.108829,0.066475,0.45344700000000004,0.01459,0.195947,0.295011
Material Issue,She's Goin' Thru My Head,93.906,-5.7360000000000015,0.967,1,0.313,1,0.3670000000000001,0.076373,0.8293020000000001,0.008171,0.04596,0.058192999999999995,0.07194500000000001,0.529812,0.127191,0.144779,0.222442
Michael Hutchence,A Straight Line,122.9,-6.001,0.93,18,0.7140000000000001,1,0.722,0.661841,0.102076,0.10675499999999999,0.251952,0.05979299999999999,0.680657,0.033526,0.136639,0.152501,0.279412
Michael Hutchence,All I'm Saying,163.954,-8.357999999999999,0.518,18,0.442,0,0.407,0.446246,0.486385,0.061346000000000005,0.022756000000000002,0.023825,0.400428,0.382832,0.070636,0.05674,0.199603
Michael Hutchence,Baby It's Alright,95.823,-5.424,0.926,18,0.718,0,0.685,0.135363,0.010587000000000001,0.914667,0.058999,0.066664,0.053835,0.6956859999999999,0.044220999999999996,0.10921199999999999,0.062919
Michael Hutchence,Breathe,74.926,-8.443,0.61,18,0.52,0,0.409,0.144716,0.664877,0.020398,0.08694199999999999,0.14160699999999998,0.30919,0.27405300000000005,0.132993,0.176508,0.21304099999999998
Michael Hutchence,Don't Save Me from Myself,111.998,-6.5379999999999985,0.8959999999999999,18,0.69,1,0.398,0.210319,0.704581,0.027727999999999996,0.022736000000000003,0.048428,0.139307,0.19836099999999998,0.08248,0.07836,0.092968
