,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Energy,Danceability,Mode,Valence
82,Elliott Smith,Don't Go Down,0.259339,0.47319399999999995,0.178368,0.026683,0.20845300000000003,0.0777,0.610824,0.058362,0.143131,0.09066,alternative rock,0.583,0.22899999999999998,1,0.17300000000000001
83,Elliott Smith,King's Crossing,0.071386,0.589084,0.194245,0.04962,0.215675,0.41568999999999995,0.00978,0.083829,0.281077,0.574887,alternative rock,0.34299999999999997,0.0589,0,0.395
84,Elliott Smith,Let's Get Lost,0.160949,0.25199299999999997,0.202323,0.11861400000000001,0.163833,0.669995,0.22384,0.161022,0.024562999999999998,0.06707300000000001,alternative rock,0.337,0.575,0,0.541
85,Elliott Smith,Little One,0.704372,0.11724200000000001,0.185224,0.012136,0.081225,0.120227,0.189661,0.48715,0.004764,0.090209,alternative rock,0.135,0.271,1,0.466
86,Elliott Smith,Memory Lane,0.050727999999999995,0.097055,0.48618999999999996,0.186834,0.48899899999999996,0.5210640000000001,0.024529,0.445633,0.08862,0.264371,alternative rock,0.35600000000000004,0.484,0,0.613
87,Elliott Smith,Pretty (Ugly Before),0.34824,0.5137149999999999,0.09805599999999999,0.09700299999999999,0.044646,0.190166,0.709704,0.07749099999999999,0.021506,0.036871,alternative rock,0.509,0.19,1,0.48700000000000004
88,Elliott Smith,Shooting Star,0.30093600000000004,0.541403,0.018086,0.094115,0.132272,0.862848,0.005649,0.174967,0.152429,0.060961,alternative rock,0.7979999999999999,0.505,1,0.517
89,Elliott Smith,Strung Out Again,0.105701,0.6472479999999999,0.028227999999999996,0.254386,0.06169500000000001,0.302989,0.030427,0.21049099999999998,0.141373,0.589377,alternative rock,0.36200000000000004,0.212,0,0.45299999999999996
90,Elliott Smith,The Last Hour,0.611254,0.064362,0.374812,0.087512,0.15925899999999998,0.19606099999999999,0.118505,0.290674,0.06993400000000001,0.516092,alternative rock,0.171,0.27899999999999997,1,0.594
91,Elliott Smith,Twilight,0.52915,0.43604899999999996,0.070999,0.008801999999999999,0.011067,0.190855,0.7737470000000001,0.046808999999999996,0.003043,0.008008,alternative rock,0.377,0.48700000000000004,1,0.428
92,Ephraim Lewis,Drowning in Your Eyes,0.27800199999999997,0.6298060000000001,0.11123699999999999,0.006726,0.021566,0.406487,0.20917399999999997,0.260412,0.22205100000000003,0.140722,rock,0.419,0.529,0,0.6890000000000001
93,Ephraim Lewis,Mortal Seed,0.36433000000000004,0.506253,0.017574,0.025213,0.144676,0.354925,0.216322,0.26873400000000003,0.1936,0.167445,rock,0.423,0.298,1,0.318
94,Ephraim Lewis,Sad Song,0.850209,0.034230000000000003,0.246544,0.024878,0.02224,0.913824,0.059421,0.034119,0.016625,0.008014,rock,0.457,0.5579999999999999,1,0.6
95,Germs,American Leather,0.536321,0.04231,0.433583,0.080736,0.245523,0.20858600000000002,0.157994,0.042131,0.450428,0.100388,crossover thrash,0.9490000000000001,0.69,1,0.289
96,Germs,Caught In My Eye,0.35714,0.099436,0.478995,0.096606,0.29118,0.524226,0.133482,0.382334,0.127875,0.064777,crossover thrash,0.799,0.42200000000000004,0,0.364
97,Germs,Communist Eyes,0.205513,0.263982,0.077051,0.505217,0.109643,0.682948,0.026904,0.194555,0.12009,0.184849,crossover thrash,0.895,0.855,1,0.361
98,Germs,Dragon Lady,0.6549020000000001,0.093872,0.16842200000000002,0.082116,0.27067800000000003,0.13034300000000001,0.682701,0.034588,0.164348,0.037305,crossover thrash,0.7759999999999999,0.732,1,0.39899999999999997
99,Germs,Land of Treason,0.7075520000000001,0.061097000000000005,0.211179,0.14713099999999998,0.12903499999999998,0.526529,0.103647,0.19883199999999998,0.185443,0.31981,crossover thrash,0.99,0.461,0,0.45
